Total,Category,Customer,SKU,Description,Starting Year,Starting Period,Periods Per Year,Periods Per Cycle,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,,,,,,,,,,,
Total,Cakes,Food-King,BU-20-02,CASE - 20 oz. Butter Pound Cake,2018,1,12,12, ,,,,,,,,,,,,,,,,,"1,944","3,888","5,832","8,748","16,524","16,524","23,328","17,496","2,916","6,804","17,496","1,944","9,720","3,888","5,832","12,506","17,496","13,608","23,328","26,244","10,692","14,580","3,888","6,804","6,804","6,804","6,804","15,282","14,580","20,412","44,712","21,491","14,823","11,839","10,906","4,982","10,012","5,030","8,087","19,254","22,356","17,078","49,766","25,578","14,483","23,250","16,038","10,240","11,742",,,,,,,,,,,
Total,Cakes,Food-King,CA-20-01,CASE - 20 oz. Carrot Layer Cake,2018,1,12,12,"20,829","72,576","11,016",0,0,0,0,"17,496","33,696","21,384","20,088","45,367","20,736",0,"1,296","7,128","5,832","11,016","9,568","8,424","28,512","32,400","12,960","66,096","11,016","7,776",0,0,0,0,"7,128","3,888","16,120","49,896","1,944",0,"17,496","6,480","29,160",0,0,"3,240","6,451","6,494","23,976","21,384","2,592","72,064","1,274",0,"2,592","5,832","2,592","9,720","6,480","7,776","46,648","27,216",0,"19,440","7,776",0,0,648,"7,776","3,700",,,,,,,,,,,
Total,Cakes,Food-King,CH-20-01,CASE - 20 oz. Chocolate Layer Cake,2018,1,12,12,,,,,,,,,,,,,,,"17,469","12,209","9,931","17,294","14,590","17,462","16,810","19,256","18,256","25,386","15,480","20,288","22,695","19,681","18,913","22,560","17,261","18,352","22,114","24,211","23,288","34,795","23,108","21,294","23,120","21,578","21,159","24,340","20,087","22,146","25,482","24,095","23,094","32,936","25,469","25,514","29,470","23,823","20,848","28,715","23,029","22,881","30,089","29,089","24,371","33,051","27,482","28,727","30,282","27,462","24,177","32,160",,,,,,,,,,,
Total,Cakes,Food-King,CO-20-01,CASE - 20 oz. Coconut Layer Cake,2018,1,12,12,"6,763","7,661","9,561","6,076","6,092","7,930","7,981","7,852","12,907","9,081","11,058","13,949","9,912","11,089","9,964","6,526","7,310","7,992","6,567","5,669","7,630","7,475","9,210","10,243","7,739","9,050","9,510","7,661","3,603","7,450","4,770","6,732","7,775","7,682","8,162","12,060","7,656","6,804","8,611","5,607","6,298","6,908","6,722","5,379","6,572","7,940","7,961","11,260","7,419","7,486","8,296","6,175","5,880","6,939","5,328","5,834","8,240","7,889","7,765","8,777","7,042","7,124","7,827","5,731","5,751","6,598",,,,,,,,,,,
Total,Cakes,Food-King,LE-20-02,CASE - 20 oz. Lemon Pound Cake,2018,1,12,12,,,,,,,,"3,624","7,980","14,874","11,244","32,346","23,946",0,0,384,0,0,0,0,"6,528","16,818","14,904","30,480","17,418","18,144",0,0,0,0,0,0,"12,438","42,504","5,286","7,464","26,748",0,0,0,0,0,0,0,"8,706","18,504","27,576","51,990","15,966",0,0,0,0,0,0,0,"32,658","34,110","18,144","56,604","17,778","4,350",0,0,0,0,,,,,,,,,,,
Total,Cakes,Grocery-Land,BU-20-02,CASE - 20 oz. Butter Pound Cake,2018,1,12,12, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,"3,836","7,000","1,482","10,646","6,309","14,581","4,458","7,748","7,093","7,397",876,"8,105",,,,,,,,,,,
Total,Cakes,Grocery-Land,CA-20-01,CASE - 20 oz. Carrot Layer Cake,2018,1,12,12,"3,572","4,000","2,808","5,184","2,808","4,372","8,162","4,752","8,424","8,424","5,616","11,016","6,882","10,740","11,212","2,009","9,044","3,778","5,436","10,702","5,122","8,736","8,808","9,318","8,290","7,080","13,444","6,860","8,616","4,452","3,536","6,589","9,484","15,814","13,054","6,710","11,789","9,896","7,342","6,519","8,042","9,843","8,384","6,965","11,753","10,690","11,137","14,573","19,789","4,612","9,414","4,241","9,318","7,823","5,164","8,338","7,273","5,605","8,208","10,632","3,024","3,888","5,832","4,428","2,808","5,400",,,,,,,,,,,
Total,Cakes,Grocery-Land,CH-20-01,CASE - 20 oz. Chocolate Layer Cake,2018,1,12,12,"15,307","1,866","3,477","6,501","5,292","5,216","4,233","9,223","3,588","11,761","6,728","19,202","2,646","12,991","3,024","9,655","1,738","5,832","6,997","6,507","12,625","7,107","10,231","11,110","12,247","6,804","12,096","4,687","9,147","5,896","3,709","9,903","13,003","4,989","7,862","18,824","14,288","3,477","11,656","2,355","5,972","5,670","6,451","5,821","14,203","15,130","3,932","25,605","4,611","8,391","1,965","5,443","4,158","7,364","5,292","6,199","18,572","15,204","1,176","12,684","15,288",924,"3,444","4,620","7,056","5,046",,,,,,,,,,,
Total,Cakes,Grocery-Land,CO-20-01,CASE - 20 oz. Coconut Layer Cake,2018,1,12,12,"25,404",450,906,"4,986","7,218","6,348","4,536","11,340","2,292","18,738","4,080","27,216","2,268","14,058","3,624","13,182",906,"4,986","6,396","4,986","16,782","5,508","9,984","8,616","24,036",450,"22,224",450,"2,718","10,428",450,"13,152","14,514",450,"6,348","19,956","20,862",0,"11,790",0,450,"5,442","5,892","4,536","14,514","15,876","4,986","22,110","5,730","34,968",0,"3,624","3,174","7,254","4,932","5,892","19,854","18,144",0,"6,336","47,412",0,"2,520",504,"5,040","3,528",,,,,,,,,,,
Total,Cakes,Sids-Club,BU-20-02,CASE - 20 oz. Butter Pound Cake,2018,1,12,12,,,,,,,,,,,,,"8,140","7,249","7,047","4,374","4,212","3,523","2,754","4,455","5,832","7,654","8,919","8,543","7,047","6,075","8,748","2,551","4,293","4,657","2,916","5,346","7,897","8,788","9,153","9,436","8,788","6,682","6,763","4,293","4,212","3,847","4,050","4,262","7,857","12,069","10,125","15,147","7,857","6,885","8,100","4,941","4,293","4,698","4,779","4,899","8,667","12,231","10,773","9,882","6,642","6,318","7,452","4,698","4,212","4,941",,,,,,,,,,,
