Date,SKU,Category,Units Sold,Unit Price,Revenue,Cost,Profit
2015-01-01,SKU_A,Beverages,1015,2.5,2537.5,1709.95,827.55
2015-01-01,SKU_B,Snacks,994,1.5,1491.0,1114.95,376.05
2015-01-01,SKU_C,Personal Care,1050,3.0,3150.0,2364.9,785.1
2015-01-01,SKU_D,Household,1079,4.0,4316.0,3326.3,989.7
2015-02-01,SKU_A,Beverages,1043,2.5,2607.5,1771.34,836.16
2015-02-01,SKU_B,Snacks,1061,1.5,1591.5,1089.74,501.76
2015-02-01,SKU_C,Personal Care,1080,3.0,3240.0,2281.42,958.58
2015-02-01,SKU_D,Household,968,4.0,3872.0,2432.65,1439.35
2015-03-01,SKU_A,Beverages,1292,2.5,3230.0,2493.01,736.99
2015-03-01,SKU_B,Snacks,1007,1.5,1510.5,1092.25,418.25
2015-03-01,SKU_C,Personal Care,1048,3.0,3144.0,1908.3,1235.7
2015-03-01,SKU_D,Household,1210,4.0,4840.0,3225.61,1614.39
2015-04-01,SKU_A,Beverages,1145,2.5,2862.5,2059.09,803.41
2015-04-01,SKU_B,Snacks,1302,1.5,1953.0,1176.26,776.74
2015-04-01,SKU_C,Personal Care,1332,3.0,3996.0,2834.26,1161.74
2015-04-01,SKU_D,Household,1081,4.0,4324.0,2688.82,1635.18
2015-05-01,SKU_A,Beverages,1316,2.5,3290.0,2114.97,1175.03
2015-05-01,SKU_B,Snacks,1075,1.5,1612.5,1149.31,463.19
2015-05-01,SKU_C,Personal Care,1228,3.0,3684.0,2942.99,741.01
2015-05-01,SKU_D,Household,1038,4.0,4152.0,3068.28,1083.72
2015-06-01,SKU_A,Beverages,1020,2.5,2550.0,1964.43,585.57
2015-06-01,SKU_B,Snacks,1051,1.5,1576.5,1207.18,369.32
2015-06-01,SKU_C,Personal Care,1028,3.0,3084.0,1991.12,1092.88
2015-06-01,SKU_D,Household,955,4.0,3820.0,2967.6,852.4
2015-07-01,SKU_A,Beverages,976,2.5,2440.0,1707.31,732.69
2015-07-01,SKU_B,Snacks,791,1.5,1186.5,848.0,338.5
2015-07-01,SKU_C,Personal Care,838,3.0,2514.0,1593.45,920.55
2015-07-01,SKU_D,Household,1061,4.0,4244.0,2805.42,1438.58
2015-08-01,SKU_A,Beverages,858,2.5,2145.0,1606.72,538.28
2015-08-01,SKU_B,Snacks,836,1.5,1254.0,896.88,357.12
2015-08-01,SKU_C,Personal Care,913,3.0,2739.0,1753.66,985.34
2015-08-01,SKU_D,Household,852,4.0,3408.0,2612.85,795.15
2015-09-01,SKU_A,Beverages,798,2.5,1995.0,1245.83,749.17
2015-09-01,SKU_B,Snacks,842,1.5,1263.0,943.05,319.95
2015-09-01,SKU_C,Personal Care,681,3.0,2043.0,1356.02,686.98
2015-09-01,SKU_D,Household,1014,4.0,4056.0,2487.45,1568.55
2015-10-01,SKU_A,Beverages,851,2.5,2127.5,1286.43,841.07
2015-10-01,SKU_B,Snacks,659,1.5,988.5,783.3,205.2
2015-10-01,SKU_C,Personal Care,741,3.0,2223.0,1708.13,514.87
2015-10-01,SKU_D,Household,863,4.0,3452.0,2448.11,1003.89
2015-11-01,SKU_A,Beverages,907,2.5,2267.5,1590.41,677.09
2015-11-01,SKU_B,Snacks,916,1.5,1374.0,935.08,438.92
2015-11-01,SKU_C,Personal Care,733,3.0,2199.0,1553.53,645.47
2015-11-01,SKU_D,Household,819,4.0,3276.0,2328.57,947.43
2015-12-01,SKU_A,Beverages,919,2.5,2297.5,1443.61,853.89
2015-12-01,SKU_B,Snacks,1020,1.5,1530.0,1015.23,514.77
2015-12-01,SKU_C,Personal Care,894,3.0,2682.0,1924.04,757.96
2015-12-01,SKU_D,Household,897,4.0,3588.0,2725.66,862.34
2016-01-01,SKU_A,Beverages,980,2.5,2450.0,1564.68,885.32
2016-01-01,SKU_B,Snacks,1030,1.5,1545.0,1006.41,538.59
2016-01-01,SKU_C,Personal Care,1049,3.0,3147.0,1972.51,1174.49
2016-01-01,SKU_D,Household,1116,4.0,4464.0,3443.03,1020.97
2016-02-01,SKU_A,Beverages,1135,2.5,2837.5,2242.38,595.12
2016-02-01,SKU_B,Snacks,972,1.5,1458.0,1011.81,446.19
2016-02-01,SKU_C,Personal Care,942,3.0,2826.0,1957.64,868.36
2016-02-01,SKU_D,Household,1122,4.0,4488.0,2776.62,1711.38
2016-03-01,SKU_A,Beverages,1222,2.5,3055.0,2440.17,614.83
2016-03-01,SKU_B,Snacks,1303,1.5,1954.5,1393.98,560.52
2016-03-01,SKU_C,Personal Care,1183,3.0,3549.0,2485.61,1063.39
2016-03-01,SKU_D,Household,1366,4.0,5464.0,3465.26,1998.74
2016-04-01,SKU_A,Beverages,1335,2.5,3337.5,2461.07,876.43
2016-04-01,SKU_B,Snacks,1189,1.5,1783.5,1424.26,359.24
2016-04-01,SKU_C,Personal Care,1020,3.0,3060.0,2440.09,619.91
2016-04-01,SKU_D,Household,1225,4.0,4900.0,3276.54,1623.46
2016-05-01,SKU_A,Beverages,1226,2.5,3065.0,2391.1,673.9
2016-05-01,SKU_B,Snacks,1241,1.5,1861.5,1195.35,666.15
2016-05-01,SKU_C,Personal Care,1414,3.0,4242.0,3086.58,1155.42
2016-05-01,SKU_D,Household,1311,4.0,5244.0,3152.57,2091.43
2016-06-01,SKU_A,Beverages,1084,2.5,2710.0,1674.76,1035.24
2016-06-01,SKU_B,Snacks,1244,1.5,1866.0,1253.7,612.3
2016-06-01,SKU_C,Personal Care,1091,3.0,3273.0,2192.62,1080.38
2016-06-01,SKU_D,Household,964,4.0,3856.0,2601.58,1254.42
2016-07-01,SKU_A,Beverages,985,2.5,2462.5,1966.83,495.67
2016-07-01,SKU_B,Snacks,986,1.5,1479.0,891.93,587.07
2016-07-01,SKU_C,Personal Care,1241,3.0,3723.0,2788.87,934.13
2016-07-01,SKU_D,Household,874,4.0,3496.0,2169.54,1326.46
2016-08-01,SKU_A,Beverages,919,2.5,2297.5,1577.58,719.92
2016-08-01,SKU_B,Snacks,827,1.5,1240.5,976.37,264.13
2016-08-01,SKU_C,Personal Care,1014,3.0,3042.0,1868.4,1173.6
2016-08-01,SKU_D,Household,892,4.0,3568.0,2412.02,1155.98
2016-09-01,SKU_A,Beverages,903,2.5,2257.5,1760.95,496.55
2016-09-01,SKU_B,Snacks,830,1.5,1245.0,765.22,479.78
2016-09-01,SKU_C,Personal Care,796,3.0,2388.0,1592.58,795.42
2016-09-01,SKU_D,Household,811,4.0,3244.0,2446.97,797.03
2016-10-01,SKU_A,Beverages,905,2.5,2262.5,1502.42,760.08
2016-10-01,SKU_B,Snacks,839,1.5,1258.5,798.05,460.45
2016-10-01,SKU_C,Personal Care,832,3.0,2496.0,1519.92,976.08
2016-10-01,SKU_D,Household,981,4.0,3924.0,3082.23,841.77
2016-11-01,SKU_A,Beverages,796,2.5,1990.0,1501.46,488.54
2016-11-01,SKU_B,Snacks,806,1.5,1209.0,883.03,325.97
2016-11-01,SKU_C,Personal Care,869,3.0,2607.0,1624.55,982.45
